"Search Ranking Metrics","Search Ranking Metrics"
"Create Metric","Create Metric"
"View Product Values","View Product Values"
"Normalize active weights","Normalize active weights"
"List of Ranking Metrics","List of Ranking Metrics"
"Create Ranking Metric","Create Ranking Metric"
"Back to Metrics","Back to Metrics"
"Save","Save"
"Edit Ranking Metric: %name%","Edit Ranking Metric: %name%"
"Edit Ranking Metric","Edit Ranking Metric"
"Search Ranking Settings","Search Ranking Settings"
"Calibrate k","Calibrate k"
"Ranking Formula Settings","Ranking Formula Settings"
"Search Ranking Calibration","Search Ranking Calibration"
"Back to Settings","Back to Settings"
"Current Saturation Point (k)","Current Saturation Point (k)"
"Apply","Apply"
"Upload New Calibration Run","Upload New Calibration Run"
"Upload","Upload"
"Metric History","Metric History"
"Every recorded metric config change, newest first","Every recorded metric config change, newest first"
"Product Ranking Values","Product Ranking Values"
"Raw and Normalized Values per Product","Raw and Normalized Values per Product"
"Active","Active"
"Inactive","Inactive"
"Change","Change"
"Check only","Check only"
"Edit","Edit"
"Delete","Delete"
"View metric","View metric"
